x, y
581.2929807578663, 0.020459901406237303
693.4300355005007, 0.01736162320077804
866.3116297414917, 0.013830851587819257
1016.215136880907, 0.012036686445079246
1123.9873768595176, 0.010431253320499672
1248.4212997013572, 0.009710715484555797
1369.2693331080307, 0.009001967721078787
1470.6075302465624, 0.008630819041719676
1553.132703800924, 0.00866723410536084
1675.0988098691448, 0.009116393639774156
1769.0998609988724, 0.009588829837180748
1932.2178892110533, 0.010085748957269212
2092.723859168232, 0.010001175584839914
2285.6813043784578, 0.010001175584839914
2475.5488637363983, 0.010001175584839914
2855.5320075755267, 0.00987564417959913
3118.8243907792626, 0.009669916272480447
3508.0238926356847, 0.009508423346753822
3799.4293188375677, 0.009508423346753822
4364.254583360622, 0.009154857434805154
4746.679025684347, 0.009039948731441096
5339.019241353593, 0.008814440108142581
5782.522257622317, 0.008630819041719676
6262.866295911717, 0.008558445886659225
6783.111675664357, 0.008380157652653373
